ID;FullName;global_id;AdmArea;District;Address;LegalAddress;ContactPhone;Fax;Email;WebSite;Categorization;CertificateNumber;CertificateIssueDate;NumberInFederalList;CertificateValidity;NameOfAccreditedOrganization;geodata_center;geoarea
89;Гостиница «Ломоносов»;62409558;Западный административный округ;район Раменки;Мичуринский проспект, дом 34;119192, город Москва, Мичуринский проспект, дом 34;"PublicPhone:(495) 789-41-87

";;hotel.lomonosov@gmail.com;www.hotel-lomonosov.ru;три звезды;550004076;;550004076;18.12.2021;"АНО  ""Центр развития социального и культурно-познавательного туризма"" ";0101000000E23E726BD2BF4240342C465D6BD94B40;
90;Гостиница «Крылатское»;62409559;Западный административный округ;район Крылатское;улица Крылатская, дом 10;121552, город Москва, улица Крылатская, дом 10;"PublicPhone:(499) 141-21-81

";(499) 149-56-32;velotrek1@yandex.ru;www.velotrek.msk.ru;;;;;;;0101000000A29BFD8172B74240EFC9C342ADE14B40;
91;Гостиница «Комета» МВД России»;62409560;Западный административный округ;район Проспект Вернадского;проспект Вернадского, дом 16;119454, город Москва, проспект Вернадского, дом16;"PublicPhone:(499) 431-75-12

PublicPhone:(499) 431-29-87

";(499) 431-39-02;"kometa.reservation@mail.ru; kometa16@mail.ru";kometa-hotel.ru;;;;;;;0101000000DDD0949D7EC04240AF22A30392D64B40;
92;"Гостиница ФГУП ""Киноконцерн ""Мосфильм""";62409561;Западный административный округ;район Раменки;улица Пырьева, дом 4, корпус 2;;"PublicPhone:(499) 143-26-00

";;hotel@mosfilm.ru;;одна звезда;550013565 ;21.03.2018;550013565 ;21.02.2021;"ООО ""Акадаемия Консалтинга и Инноваций""";0101000000577C43E1B3C342401C5DA5BBEBDC4B40;
93;"Гостиница ""Отель Вояж Парк""";62409562;Западный административный округ;район Крылатское;улица Крылатская, дом 12, корпус 4;;"PublicPhone:(499) 140-00-92

";;hotelpark@bk.ru;www.hotelpark.info;;;;550004300;;Российская гостиничная ассоциация;0101000000BE33DAAA24B84240B8CEBF5DF6E14B40;
94;Гостиница «Сокольники»;62409563;Восточный административный округ;район Сокольники;1-я Боевская улица, дом 6;107014, город Москва, 1-я Боевская улица, дом 6;"PublicPhone:(499) 785-21-90

";(499) 785-21-80;reservation@hotel-sokolniki.com;hotel-sokolniki.com;;;;550006546;;;0101000000D1967329AED8424096E7C1DD59E54B40;
95;"Гостиница ""ГБУ ""МОЦВС"" Москомспорта""";62409564;Восточный административный округ;район Соколиная Гора;Ибрагимова улица, дом 30;;"PublicPhone:(499) 369-74-02

";(499) 369-06-09;mocvs@mossport.ru;mocws.ru/gostinica;;;;550004644;;;0101000000E560360186DD424023658BA4DDE44B40;
96;"Гостиница ""Мастер-отель Первомайская""";62409565;Восточный административный округ;район Измайлово;Измайловский бульвар, дом 49;105264, город Москва, Измайловский бульвар, дом 49;"PublicPhone:(495) 150-06-76

";;bron@master-hotel.ru;www.h-pervomayskaya.ru/;;;;;;;0101000000EAB298D87CE642406FF4311F10E64B40;
97;"Гостиница ""TIARA ROYAL PARK"" ";62409566;Восточный административный округ;район Измайлово;Народный проспект, дом 5;;"PublicPhone:(985) 227-65-09

PublicPhone:(495) 227-65-09

";;vechny-zov@mail.ru;;;;;550008160;;;0101000000FD4CBD6E11E04240B97020240BE44B40;
98;Отель «Галерея»;62409567;Юго-Западный административный округ;Академический район;Профсоюзная улица, дом 4;117292, город Москва, Профсоюзная улица, дом 4;"PublicPhone:(495) 719-01-55

";;info@hotelgalery.ru;www.hotelgalery.ru/;;;;550004442;;;01010000008D7E349C32C942409D853DEDF0D74B40;
